,loss,mean_squared_error,val_loss,val_mean_squared_error
0,0.0035463757812970002,0.0035463757812970002,0.005948215723037001,0.005948215723037001
1,0.00289107253775,0.00289107253775,0.005388336721807,0.005388336721807
2,0.002752390457317,0.002752390457317,0.005250514950603,0.005250514950603
3,0.002677886746823,0.002677886746823,0.005232953466475,0.005232953466475
4,0.0026282744947820004,0.0026282744947820004,0.005119426641613,0.005119426641613
5,0.002593441633507,0.002593441633507,0.005134406033903,0.005134406033903
6,0.002566288458183,0.002566288458183,0.005084624048322,0.005084624048322
7,0.002543433802202,0.002543433802202,0.005169812124222,0.005169812124222
8,0.0025242744013660003,0.0025242744013660003,0.005064241588115,0.005064241588115
9,0.002507930854335,0.002507930854335,0.005050607956945,0.005050607956945
10,0.0024939689319580004,0.0024939689319580004,0.005022616591304,0.005022616591304
11,0.00248175044544,0.00248175044544,0.005023346282541001,0.005023346282541001
12,0.0024717669002710004,0.0024717669002710004,0.00502771185711,0.00502771185711
13,0.002462111646309,0.002462111646309,0.005035477690398,0.005035477690398
14,0.0024541569873690002,0.0024541569873690002,0.00503779714927,0.00503779714927
15,0.00244530220516,0.00244530220516,0.005028558894991,0.005028558894991
16,0.002438592491671,0.002438592491671,0.00503545301035,0.00503545301035
17,0.0024325798731290003,0.0024325798731290003,0.005086874123662001,0.005086874123662001
18,0.00242664758116,0.00242664758116,0.005010172259062,0.005010172259062
19,0.0024216801393770002,0.0024216801393770002,0.004973188042640001,0.004973188042640001
20,0.00241574156098,0.00241574156098,0.005012004636228,0.005012004636228
21,0.002411494264379,0.002411494264379,0.005035050678998,0.005035050678998
22,0.0024073279928410003,0.0024073279928410003,0.005011265166103,0.005011265166103
23,0.002402805257588,0.002402805257588,0.0051476145163170004,0.0051476145163170004
24,0.002399199176579,0.002399199176579,0.004922153893858,0.004922153893858
25,0.0023952529300000002,0.0023952529300000002,0.004945030901581,0.004945030901581
26,0.002392271766439,0.002392271766439,0.004970480687916,0.004970480687916
27,0.0023885604459790003,0.0023885604459790003,0.004988580010831,0.004988580010831
28,0.0023850267753,0.0023850267753,0.0049865306355050005,0.0049865306355050005
